1,Baylor,86,1,Gonzaga,70
1,Baylor,78,2,Houston,59
1,Gonzaga,93,11,UCLA,90
16,Texas Southern,60,16,Mount St Mary's,52
11,Drake,53,11,Wichita State,52
16,Norfolk State,54,16,Appalachian State,53
11,UCLA,86,11,Michigan State,80
7,Florida,75,10,Virginia Tech,70
3,Arkansas,85,14,Colgate,68
1,Illinois,78,16,Drexel,49
6,Texas Tech,65,11,Utah State,53
15,Oral Roberts,75,2,Ohio State,72
1,Baylor,79,16,Hartford,55
8,Loyola Chicago,71,9,Georgia Tech,60
12,Oregon State,70,5,Tennessee,56
4,Oklahoma State,69,13,Liberty,60
9,Wisconsin,85,8,North Carolina,62
2,Houston,87,15,Cleveland State,56
13,North Texas,78,4,Purdue,69
10,Rutgers,60,7,Clemson,56
11,Syracuse,78,6,San Diego State,62
3,West Virginia,84,14,Morehead State,67
5,Villanova,73,12,Winthrop,63
5,Colorado,96,12,Georgetown,73
4,Florida State,64,13,UNC Greensboro,54
3,Kansas,93,14,Eastern Washington,84
8,LSU,76,9,St. Bonaventure,61
1,Michigan,82,16,Texas Southern,66
5,Creighton,63,12,UC Santa Barbara,62
2,Alabama,68,15,Iona,55
6,USC,72,11,Drake,56
2,Iowa,86,15,Grand Canyon,74
10,Maryland,63,7,Uconn,54
13,Ohio,62,4,Virginia  ,58
8,Oklahoma  ,72,9,Missouri,68
1,Gonzaga,98,16,Norfolk State,55
11,UCLA,73,6,BYU,62
14,Abilene Christian,53,3,Texas,52
7,Oregon  ,,10,VCU,
8,Loyola Chicago,71,1,Illinois,58
1,Baylor,76,9,Wisconsin,63
11,Syracuse,75,3,West Virginia,72
3,Arkansas,68,6,Texas Tech,66
2,Houston,63,10,Rutgers,60
15,Oral Roberts,81,7,Florida,78
5,Villanova,84,13,North Texas,61
12,Oregon State,80,4,Oklahoma State,70
7,Oregon,95,2,Iowa,80
1,Gonzaga,87,8,Oklahoma  ,71
11,UCLA,67,14,Abilene Christian,47
5,Creighton,72,13,Ohio  ,58
1,Michigan,86,8,LSU ,78
4,Florida State,71,5,Colorado,53
2,Alabama,96,10,Maryland,77
6,USC,85,3,Kansas,51
12,Oregon State,65,8,Loyola Chicago,58
1,Baylor,62,5,Villanova,51
3,Arkansas,72,15,Oral Roberts,70
2,Houston,62,11,Syracuse,46
1,Gonzaga,83,5,Creighton,65
1,Michigan,76,4,Florida State,58
11,UCLA,88,2,Alabama,78
6,USC,82,7,Oregon,68
2,Houston,67,12,Oregon State,61
1,Baylor,81,3,Arkansas,72
1,Gonzaga,85,6,USC,66
11,UCLA,51,1,Michigan  ,49
