"","TEAM","POSTSEASON"
"1","Baylor","Champions"
"2","Gonzaga","2ND"
"3","UCLA","F4"
"4","Houston","F4"
"5","Arkansas","E8"
"6","Oregon St.","E8"
"7","Michigan","E8"
"8","USC","E8"
"9","Creighton","S16"
"10","Oregon","S16"
"11","Florida St.","S16"
"12","Alabama","S16"
"13","Syracuse","S16"
"14","Loyola Chicago","S16"
"15","Oral Roberts","S16"
"16","Villanova","S16"
"17","Oklahoma","R32"
"18","Ohio","R32"
"19","Kansas","R32"
"20","Iowa","R32"
"21","LSU","R32"
"22","Colorado","R32"
"23","Abilene Christian","R32"
"24","Maryland","R32"
"25","Rutgers","R32"
"26","West Virginia","R32"
"27","Oklahoma St.","R32"
"28","Illinois","R32"
"29","Florida","R32"
"30","Texas Tech","R32"
"31","North Texas","R32"
"32","Wisconsin","R32"
"33","Hartford","R32"
"34","North Carolina","R64"
"35","Winthrop","R64"
"36","Purdue","R64"
"37","Utah St.","R64"
"38","Colgate","R64"
"39","Virginia Tech","R64"
"40","Ohio St.","R64"
"41","Drexel","R64"
"42","Georgia Tech","R64"
"43","Tennessee","R64"
"44","Liberty","R64"
"45","San Diego St.","R64"
"46","Morehead St.","R64"
"47","Clemson","R64"
"48","Cleveland St.","R64"
"49","Iona","R64"
"50","Connecticut","R64"
"51","Texas","R64"
"52","BYU","R64"
"53","UNC Greensboro","R64"
"54","Georgetown","R64"
"55","St. Bonaventure","R64"
"56","Texas Southern","R64"
"57","Grand Canyon","R64"
"58","VCU","R64"
"59","Eastern Washington","R64"
"60","Drake","R64"
"61","Virginia","R64"
"62","UC Santa Barbara","R64"
"63","Missouri","R64"
"64","Norfolk St.","R64"
